name,nickname,lat,lon,exraid
"Mr. Hockey Statue, Saskatoon",,52.189342,-106.680071,False
Saskatoon Centennial Time Capsule,100 Year Memorial,52.127393,-106.657532,True
22nd Street Playground,,52.129085,-106.701595,False
A.H.Browne Park,,52.150208,-106.677394,True
Achs Park,,52.102659,-106.668006,True
Adams Park,,52.096804,-106.55713,False
Ahmadiyya Mosque,,52.12372,-106.585975,False
Al Anderson Park,,52.153588,-106.717937,True
AL Anderson Park North,,52.154833,-106.714097,True
AL Anderson Park South,,52.153358,-106.720621,False
Piano Forte,Albert Community Centre Sculpture,52.119521,-106.646318,True
Albert Milne Park,,52.118128,-106.607911,False
Alexander Macgillivray Young Park,,52.07905,-106.620787,True
Alexander McGillivray Young Park W,,52.079092,-106.624438,True
Alice Turner Library,,52.146732,-106.582294,False
All Saints Anglican Church,,52.108025,-106.670288,False
Amethyst Sidewalk,,52.126702,-106.662512,False
Anchor for the Saskatchewan Sailor,,52.13087,-106.658885,False
Anita Langford Park,,52.1517,-106.724683,True
Arbor Creek Park (NW),,52.133272,-106.568694,False
Arbor Creek Park (SE),,52.132329,-106.566709,False
Archaeology Building,,52.131657,-106.630614,False
Archibald Mcdonald Park Southwest Entrance,,52.139938,-106.718992,True
Asian Garden Guardian,,52.114483,-106.62558,False
Atlantic Park Entrance Sign,,52.132286,-106.731827,False
Atlantic Park Soccer Field,,52.131076,-106.729155,False
Avalon Dog Park NW,,52.092905,-106.65791,True
Avalon Park NE Entrance,,52.092866,-106.652114,True
Bat's Dinner,Cats Dinner ,52.119712,-106.654195,False
Bay Park Baptist Church,,52.143637,-106.693467,False
Beckett Green Park,,52.131567,-106.576976,True
Bev M Dyck Pond,,52.136859,-106.758334,False
Big Tooth,,52.137456,-106.659405,False
BJM Park North,,52.171088,-106.633361,False
Blue Sutherland Sculpture,,52.137491,-106.599046,False
Boffins Park Pergola,,52.141481,-106.629218,False
Boom Town Park,,52.095678,-106.671725,False
Boughton Park,,52.110759,-106.693944,True
Bowser Castle 16,,52.113902,-106.611477,False
Brevoort Park North,,52.108711,-106.615689,True
Brevoort Park North Entrance,Brevoort Park South,52.108357,-106.616487,False
Briarwood Fountain,,52.104282,-106.571402,False
Briarwood Lake Park,,52.110992,-106.565947,True
Briarwood Park,,52.110799,-106.564893,False
Broken Mill,,52.149835,-106.600809,False
Buena Vista Park South,,52.11189,-106.662465,True
Buffalo Mural,,52.130781,-106.664526,False
