name,nickname,lat,lon
"""An experience never forgotten"" sign",,52.088558,-106.617161
"""Grounded""",,52.144136,-106.706145
"""The air was singularly exhilarating"" sculpture",,52.088767,-106.616939
"""The upside down forest"" sign",,52.087736,-106.617248
100 Year Water Treatment Pump,,52.115109,-106.681387
121 Research Drive Time Capsule,,52.142505,-106.625278
33rd St Co-op Canada Post,,52.144875,-106.695872
3rd Ave Cars,,52.125486,-106.66368
4 Taps Mural,,52.125075,-106.665929
46th Battalion ,,52.131082,-106.632821
8th Street Books and Comics,,52.114556,-106.646081
A Prairie Marine Disaster,,52.120639,-106.662958
A swing and a miss,,52.173721,-106.617869
A. S. Wright Park,,52.100172,-106.616079
A.C.T. Arena,,52.133174,-106.597608
A.L. Cole Power Plant Winch,,52.122613,-106.67298
A.S. Wright Park Southwest Entrance,,52.097112,-106.616742
Abstract Head,,52.125828,-106.667526
Abstractions,,52.116995,-106.654746
Adams Park East,,52.096312,-106.553051
Aden Bowman Science Students Plaque,,52.111917,-106.677635
Agriplace Ice Sports,,52.192099,-106.679466
AL Anderson Park,,52.155165,-106.715757
Al Anderson Park Playground,,52.154508,-106.718029
Albert Oulton Park ,,52.119916,-106.634499
Albert Park,,52.119662,-106.644167
Albert Park Tennis Courts,,52.11917,-106.645042
Albert School,,52.119226,-106.645984
All in the Wild Gallery,,52.115359,-106.656476
All Nations Full Gospel Church,,52.100052,-106.665346
All Saints Ukrainian Orthodox Church,,52.100103,-106.614831
Alley Art,,52.126641,-106.678537
Amazing Stories,,52.114508,-106.618026
Ancient Wagon,,52.131085,-106.586762
Animals in Nature Backalley Mural,,52.116893,-106.620547
Anita Langford Park West,,52.154427,-106.722087
Anna McIntosh Park,,52.133471,-106.600559
Anstey Chick,,52.171994,-106.650994
Archbald Mcdonald Park West Entrance,,52.14292,-106.719928
Arches Of YWCA,,52.133188,-106.655105
Archibald Mcdonald Park North Entrance,,52.143743,-106.718192
Arthur Cooke Building,,52.132638,-106.665703
Assante Metal Sculpted Doors,,52.124858,-106.660122
Atmosphere Mosaic,,52.130618,-106.663134
Atrium Fountain Koi Pond,,52.141942,-106.627936
Augustana Lutheran Church,,52.113332,-106.656415
Avalon Alliance Church,,52.097417,-106.658497
Avalon Dog Park,,52.092515,-106.655581
Avalon Dog Park SE,,52.090641,-106.65549
Avalon Park NW Entrance,,52.092881,-106.653644
Avro Anson Propeller,,52.170092,-106.690685
Baby Tv,,52.131541,-106.664673
Badger Dream,,52.131354,-106.667912
Baitur Rahmat Mosque Playground,,52.084289,-106.570665
Balancing Waterfall Rocks,,52.15608,-106.682862
Ballet Mechanique,,52.130091,-106.63547
Balsam Park,,52.146723,-106.598775
Balsam Playground,,52.146611,-106.597799
Banyan Fountain,,52.103767,-106.569386
Barking Box,,52.132052,-106.663819
Batter Up!,,52.149544,-106.693211
Bear Park,,52.086371,-106.615157
Beckett Playground,,52.131299,-106.577378
Bessborough Clock Tower,,52.126732,-106.658441
Bessborough Gates,,52.125799,-106.657497
Bethany Sphere,,52.167783,-106.626614
Between The Crosses Field Of Honour Memorial. ,,52.152892,-106.655177
Big Bear,,52.133624,-106.630777
Birdo,,52.122301,-106.669036
Birks Coat of Arms,,52.127194,-106.66294
Birmingham's RGB Vodka Display,,52.158971,-106.650861
Birth,,52.136143,-106.639708
Bishop James P Mahoney Park South Entrance,,52.169264,-106.631103
BJM Park Ball Diamond,,52.169514,-106.630937
BJM Park Playground,,52.170655,-106.632993
Blair Nelson Park,,52.076173,-106.616139
Blair Nelson Park North Entrance,,52.078967,-106.615503
Bloomingfields Florists,,52.113015,-106.598635
Blue Steel Man,,52.160383,-106.661686
BMO High Relief Wall Sculpture,,52.129043,-106.664467
BN Metal Globe ,,52.15611,-106.663212
Bob Billyard Bison,,52.132484,-106.628697
Bobby Thompson,,52.12969,-106.653615
Boer War Plaque,,52.123741,-106.659853
Boffins Innovation Place Pillar,,52.14083,-106.628838
Book Transcendence,,52.126238,-106.670931
Boomtown Elevator Co.,,52.096368,-106.672883
Bottomley House,,52.128676,-106.642952
Boughton Park Playground,,52.110217,-106.693595
Brad Wall Honourary Plaque,,52.131058,-106.63844
Brevoort Park,,52.106854,-106.618284
Brevoort Park athletic field,,52.108957,-106.615926
Brevoort Park ball diamond,,52.11009,-106.615157
Brevoot Park Community Garden,Brevoort Park Community Garden,52.10315,-106.611361
Brevoort Park outdoor rink,,52.109848,-106.613539
Brevoort Park skateboard area,,52.108852,-106.61514
Briarwood Lake West,,52.113019,-106.571601
Briarwood Park South Entrance,,52.10823,-106.566675
Briarwood Playground,,52.110154,-106.564677
