name,nickname,lat,lon,exraid,
"""The air was singularly exhilarating"" sculpture",,52.088767,-106.616939,FALSE,n/a
22nd Street Playground,,52.129085,-106.701595,FALSE,n/a
A.H.Browne Park,,52.150208,-106.677394,TRUE,YES
Achs Park,,52.102659,-106.668006,TRUE,YES
Adams Park,,52.096804,-106.55713,FALSE,EX not eligible
Ahmadiyya Mosque,,52.12372,-106.585975,FALSE,n/a
Al Anderson Park,,52.153588,-106.717937,TRUE,YES
AL Anderson Park North,,52.154833,-106.714097,TRUE,YES
AL Anderson Park South,,52.153358,-106.720621,FALSE,n/a
Albert Milne Park,,52.118128,-106.607911,FALSE,EX not eligible
Alexander Macgillivray Young Park,,52.07905,-106.620787,TRUE,Possible
Alexander McGillivray Young Park W,,52.079092,-106.624438,TRUE,Possible
Alice Turner Library,,52.146732,-106.582294,FALSE,n/a
All Saints Anglican Church,,52.108025,-106.670288,FALSE,n/a
Amethyst Sidewalk,,52.126702,-106.662512,FALSE,n/a
Anchor for the Saskatchewan Sailor,,52.13087,-106.658885,FALSE,n/a
Anita Langford Park,,52.1517,-106.724683,TRUE,YES
Arbor Creek Park (NW),,52.133272,-106.568694,FALSE,n/a
Arbor Creek Park (SE),,52.132329,-106.566709,FALSE,n/a
Archaeology Building,,52.131657,-106.630614,FALSE,n/a
Archibald Mcdonald Park Southwest Entrance,,52.139938,-106.718992,TRUE,Possible
Asian Garden Guardian,,52.114483,-106.62558,FALSE,n/a
Atlantic Park Entrance Sign,,52.132286,-106.731827,FALSE,n/a
Atlantic Park Soccer Field,,52.131076,-106.729155,FALSE,n/a
Avalon Dog Park NW,,52.092905,-106.65791,TRUE,YES
Avalon Park NE Entrance,,52.092866,-106.652114,TRUE,YES
Baitur Rahmat Mosque,,52.085083,-106.570367,FALSE,n/a
Bat's Dinner,Cats Dinner ,52.119712,-106.654195,FALSE,n/a
Bay Park Baptist Church,,52.143637,-106.693467,FALSE,
Beckett Green Park,,52.131567,-106.576976,TRUE,Possible
Bev M Dyck Pond,,52.136859,-106.758334,FALSE,n/a
Big Tooth,,52.137456,-106.659405,FALSE,n/a
BJM Park North,,52.171088,-106.633361,FALSE,EX not eligible
Blue Sutherland Sculpture,,52.137491,-106.599046,FALSE,
Boffins Park Pergola,,52.141481,-106.629218,FALSE,n/a
Boom Town Park,,52.095678,-106.671725,FALSE,n/a
Boughton Park,,52.110759,-106.693944,TRUE,Possible
Bowser Castle 16,,52.113902,-106.611477,FALSE,n/a
Brevoort Park North (gym),Brevoort Park North,52.108711,-106.615689,TRUE,YES
Brevoort Park North Entrance,Brevoort Park South,52.108357,-106.616487,FALSE,n/a
Briarwood Fountain,,52.104282,-106.571402,FALSE,n/a
Briarwood Lake Park,,52.110992,-106.565947,TRUE,YES
Briarwood Park,,52.110799,-106.564893,FALSE,n/a
Broken Mill,,52.149835,-106.600809,FALSE,n/a
Buena Vista Paddling Pool,,52.112858,-106.663337,FALSE,n/a
Buena Vista Park South,,52.11189,-106.662465,TRUE,Possible
Buffalo Mural,,52.130781,-106.664526,FALSE,n/a
Buffaloberry Trail,,52.097755,-106.763906,FALSE,n/a
