name,nickname,lat,lon
Wildwood Gazebo,,52.107833,-106.576109
Bear Park,,52.086371,-106.615157
Boer War Plaque,,52.123741,-106.659853
The Struggle,,52.135181,-106.641153
Metal Sculpture Trio,,52.095493,-106.56831
Untitled 1995 By - Peter Nicholus Hide,,52.13537,-106.648703
New Life Pentecostal Church,,52.145728,-106.727232
Painted Moth,,52.126591,-106.672205
Horse Head Bridge,,52.156228,-106.681793
Atrium Fountain Koi Pond,,52.141942,-106.627936
Stew Uzelman Pedway,,52.153804,-106.636258
Stations of the Sun Triptych,,52.117369,-106.654216
North west Meadows park playground,,52.104304,-106.653655
Innovation Place Baseball Diamond,,52.140073,-106.630293
Brick Cross,,52.107594,-106.633663
Massey Park Playground,,52.116011,-106.649299
Meewasin Valley Centre,,52.123325,-106.663628
Sherbrooke Metal Sculpture 2,,52.122262,-106.598228
Unconditional Love,,52.125712,-106.661137
Sustainability in Action,,52.131598,-106.631882
Dr Seager Wheeler Park South Entrance,,52.147125,-106.705819
Dr Seager Wheeler Park North Entrance,,52.150332,-106.705222
Brad Wall Honourary Plaque,,52.131058,-106.63844
Cosmopolitan Seniors Centre,,52.118701,-106.655268
D.L Hamilton Park Playground,,52.122643,-106.701979
Mceown Park Playground,,52.122955,-106.632484
100 Year Water Treatment Pump,,52.115109,-106.681387
121 Research Drive Time Capsule,,52.142505,-106.625278
3rd Ave Cars,,52.125486,-106.66368
4 Taps Mural,,52.125075,-106.665929
46th Battalion ,,52.131082,-106.632821
8th Street Books and Comics,,52.114556,-106.646081
A. S. Wright Park,,52.100172,-106.616079
A.C.T. Arena,,52.133174,-106.597608
A.S. Wright Park Southwest Entrance,,52.097112,-106.616742
Abstract Head,,52.125828,-106.667526
Adams Park East,,52.096312,-106.553051
Aggiornamento,,52.132951,-106.637751
Agriplace Ice Sports,,52.192099,-106.679466
Albert Oulton Park ,,52.119916,-106.634499
Albert Park,,52.119662,-106.644167
All In The Wild Gallery,,52.114563,-106.642367
All Nations Full Gospel Church,,52.100052,-106.665346
All Saints Ukrainian Orthodox Church,,52.100103,-106.614831
Alley Art,,52.126641,-106.678537
Amazing Stories,,52.114508,-106.618026
Ancient Wagon,,52.131085,-106.586762
Anna McIntosh Park,,52.133471,-106.600559
Anstey Chick,,52.171994,-106.650994
Archaeology Building,,52.131657,-106.630614
Arches Of YWCA,,52.133188,-106.655105
Arthur Cooke Building,,52.132638,-106.665703
Atmosphere Mosaic,,52.130618,-106.663134
Augustana Lutheran Church,,52.113332,-106.656415
Avalon Alliance Church,,52.097417,-106.658497
Avalon Dog Park,,52.092515,-106.655581
Avalon Dog Park SE,,52.090641,-106.65549
Avalon Park NW Entrance,,52.092881,-106.653644
Baby Tv,,52.131541,-106.664673
Badger Dream,,52.131354,-106.667912
Balancing Waterfall Rocks,,52.15608,-106.682862
Balsam Park,,52.146723,-106.598775
Beckett Playground,,52.131299,-106.577378
Bessborough Clock Tower,,52.126732,-106.658441
Bessborough Gates,,52.125799,-106.657497
Between The Crosses Field Of Honour Memorial. ,,52.152892,-106.655177
Birdo,,52.122301,-106.669036
Birks Coat of Arms,,52.127194,-106.66294
Birmingham's RGB Vodka Display,,52.158971,-106.650861
Bishop James P Mahoney Park South Entrance,,52.169264,-106.631103
Bloomingfields Florists,,52.113015,-106.598635
Blue Steel Man,,52.160383,-106.661686
BMO High Relief Wall Sculpture,,52.129043,-106.664467
BN Metal Globe ,,52.15611,-106.663212
Bobby Thompson,,52.12969,-106.653615
Boffins Innovation Place Pillar,,52.14083,-106.628838
Book Transcendence,,52.126238,-106.670931
Boomtown Elevator Co.,,52.096368,-106.672883
Bottomley House,,52.128676,-106.642952
Brevoort Park,,52.106854,-106.618284
Briarwood Lake West,,52.113019,-106.571601
Briarwood Park,,52.110799,-106.564893
Briarwood South Entrance,,52.112498,-106.56528
Briarwood Spray Park,,52.110547,-106.564216
Bridge Art Sculpture,,52.131752,-106.65171
Bridge Box,,52.114768,-106.662624
Bridge Ministry International Church,,52.099771,-106.643329
Broadway Bridge Plaque,,52.120836,-106.65828
Broadway Walk of Stars,,52.118404,-106.65657
Bubbles Mural,,52.117211,-106.657156
Bucky Ball ,,52.124301,-106.64195
Buena Vista Park North,,52.113457,-106.662582
Buffalo Bill,,52.128707,-106.634905
Bus Depot,,52.131805,-106.662594
Bus Stop,,52.126193,-106.659889
Butterfly And Berry,,52.115274,-106.588234
C N Rail Station,,52.13212,-106.671223
C. F. Patterson Park Plaque,,52.141855,-106.607357
C.P. Seeley Park,,52.097793,-106.663086
Cafe Mural,,52.114553,-106.620218
Cafe Rose Mural,,52.132316,-106.668942
Cahill Park Playground,,52.127094,-106.708289
Calvary Church,,52.10031,-106.610837
Cameco Plaza Clock,,52.129991,-106.632222
Cambridge Court Plaque,,52.129148,-106.658271
Campbell Wilson Millar Building,,52.131855,-106.664397
Canada Post Taylor and Broadway,,52.10702,-106.656029
Canine Unit Memorial Mural,,52.133714,-106.666057
Canon Smith Park Playground,,52.106598,-106.633421
Capitol Entertainment,,52.128929,-106.663997
Castle Theatre,,52.105582,-106.647297
Cathedral Social Hall Mural,,52.126642,-106.659261
Cats Dinner ,,52.119712,-106.654195
Celebrate Mural,,52.124713,-106.663003
Chaldean Catholic Church,,52.104802,-106.651024
Chianti Man,,52.129583,-106.66969
Chief Darcy Bear Park,,52.119752,-106.659698
Christ the Healer Gospel Church,,52.127877,-106.678163
Christine Morris Park,,52.154218,-106.589009
Churchy Looking Art,,52.130002,-106.62823
City of the Future ,,52.114805,-106.646675
City Park Community Garden,,52.143455,-106.646723
City Park Mural,,52.143557,-106.652279
City Perk,,52.139592,-106.652342
Clarence Basketball Court ,,52.120305,-106.646978
Cliff Wright Library,,52.104706,-106.585687
Cobalt Teletherapy Unit,,52.133345,-106.63959
College Building,,52.130384,-106.633494
College of Law Library,,52.132945,-106.638812
Colonial Pub & Grill,,52.115298,-106.637355
Colour Wall,,52.119997,-106.657686
Colourful Mosaic,,52.13226,-106.634661
Common Ground Community Garden.,,52.154787,-106.640063
Corn on the Road,,52.125961,-106.670458
Cornerstone Church,,52.173006,-106.628311
Cosmic Lights,,52.130136,-106.671572
Cosmopolitan Park (East),Cosmopolitan Park,52.128884,-106.647331
Cosmopolitan Park (West),Cosmopolitan Park,52.121345,-106.658
CP Railroad Box,,52.132378,-106.6563
Cree Nation Buffalo,,52.130188,-106.585988
Creeway Sun Eagle,,52.130204,-106.587443
Cumberland Park ,,52.115091,-106.635678
Cup o' Tea,,52.114084,-106.600044
Curling and Hockey Players,,52.126127,-106.666618
Curved Track,,52.135297,-106.639644
d’Library,,52.121877,-106.651443
Dairy Building,,52.131227,-106.675266
Dairy Cow,,52.200346,-106.678473
Decorative Motif @ the Univers,,52.130702,-106.632775
Dental Clinic Braces,,52.130154,-106.639001
Diefenbaker Centre,,52.134157,-106.639935
Dinomite! Box,,52.128679,-106.643425
Disney Mural,,52.16971,-106.629813
Dr Gerhard Herzberg Memorial Ball Diamond,,52.122712,-106.59409
Dr Gerhard Herzberg Park North Sign,,52.123689,-106.593796
Dr Gerhard Herzberg Park Rink,,52.122469,-106.592928
Dr. Gerhard Herzberg Park South,,52.118419,-106.596072
Dr. Gerhard Herzberg East Playground,,52.122189,-106.592385
Dr. Leo Kristjanson Stone Bench,,52.13108,-106.634985
Draggins Car Club Park West,,52.154059,-106.713654
Dragon Koolaid,,52.118904,-106.657085
Drunken Parrot Sign.,,52.132349,-106.666501
